Esum_keV,pdf_per_keV,rate_per_tonne_year_keV_w136eq1,rate_per_tonne_year_keV_natural_LXe,rate_per_tonne_year_keV_w136eq0p90
1303.0,0.0006018017319754087,853.7473814436909,78.27655048025231,768.3726432993217
1304.0,0.0006006078971665839,852.0537450053828,78.12126799149758,766.8483705048444
1305.0,0.0005994134293805513,850.3592105925343,77.96590317118789,765.3232895332807
1306.0,0.0005982183388251334,848.6637926864956,77.81045734705812,763.797413417846
1307.0,0.0005970226357032443,846.9675057616541,77.65493184620466,762.2707551854886
1308.0,0.0005958263302127788,845.2703642852761,77.4993279950711,760.7433278567484
1309.0,0.0005946294325465015,843.5723827173498,77.34364711943367,759.2151444456148
1310.0,0.0005934319528919364,841.8735755104294,77.18789054438702,757.6862179593863
1311.0,0.0005922339014312541,840.1739571094739,77.03205959432941,756.1565613985265
1312.0,0.0005910352883411625,838.4735419516929,76.87615559294863,754.6261877565236
1313.0,0.0005898361237927957,836.7723444663887,76.72017986320746,753.0951100197498
1314.0,0.0005886364179516037,835.0703790747998,76.56413372732935,751.5633411673198
1315.0,0.00058743618097724,833.3676601899417,76.40801850678379,750.0308941709475
1316.0,0.0005862354230234536,831.6642022164528,76.25183552227224,748.4977819948075
1317.0,0.000585034154237977,829.9600195504373,76.09558609371369,746.9640175953934
1318.0,0.000583832384762416,828.2551265793065,75.93927154023012,745.4296139213758
1319.0,0.0005826301247321407,826.5495376816265,75.78289318013249,743.8945839134637
1320.0,0.0005814273842761745,824.8432672269587,75.62645233090619,742.3589405042627
1321.0,0.0005802241735170835,823.1363295757044,75.46995030919679,740.8226966181338
1322.0,0.000579020502570868,821.4287390789505,75.3133884307958,739.2858651710553
1323.0,0.0005778163815468529,819.720510078313,75.15676801062641,737.7484590704817
1324.0,0.0005766118205475754,818.0116569057794,75.00009036272901,736.2104912152015
1325.0,0.0005754068296686793,816.3021938835576,74.84335680024732,734.6719744952018
1326.0,0.000574201418998803,814.5921353239168,74.68656863541388,733.132921791525
1327.0,0.0005729955986194707,812.8814955290342,74.5297271795359,731.5933459761308
1328.0,0.0005717893786049833,811.1702887908394,74.37283374298099,730.0532599117554
1329.0,0.00057058276902231,809.458529390861,74.2158896351632,728.5126764517748
1330.0,0.0005693757799309784,807.7462316000705,74.0588961645286,726.9716084400634
1331.0,0.0005681684213829658,806.0334096787279,73.90185463854121,725.430068710855
1332.0,0.000566960703422591,804.3200778762289,73.7447663636689,723.8880700886059
1333.0,0.0005657526360864062,802.6062504309506,73.58763264536934,722.3456253878554
1334.0,0.0005645442294030861,800.8919415700951,73.43045478807555,720.8027474130855
1335.0,0.000563335493393322,799.1771655095387,73.27323409518219,719.2594489585847
1336.0,0.0005621264380697132,797.461936453678,73.11597186903137,717.7157428083101
1337.0,0.0005609170734366581,795.7462685952751,72.95866941089845,716.1716417357475
1338.0,0.0005597074094902463,794.030176115305,72.80132802097818,714.6271585037745
1339.0,0.0005584974562181515,792.3136731828038,72.64394899837053,713.0823058645233
1340.0,0.000557287223599523,790.5967739547136,72.48653364106679,711.5370965592422
1341.0,0.0005560767216048786,788.8794925757325,72.32908324593548,709.9915433181591
1342.0,0.0005548659601959968,787.1618431781595,72.17159910870846,708.4456588603435
1343.0,0.0005536549493258103,785.4438398817454,72.01408252396696,706.8994558935707
1344.0,0.0005524436989382971,783.7254967935364,71.8565347851275,705.3529471141827
1345.0,0.0005512322189683756,782.0068280077273,71.69895718442817,703.8061452069545
1346.0,0.0005500205193417959,780.2878476055059,71.54135101291463,702.2590628449552
1347.0,0.0005488086099750342,778.568569654903,71.38371756042616,700.7117126894126
1348.0,0.0005475965007751853,776.8490082106415,71.22605811558194,699.1641073895772
1349.0,0.000546384201639857,775.1291773139843,71.068373965767,697.6162595825858
1350.0,0.0005451717224570627,773.4090909925847,70.91066639711858,696.068181893326
1351.0,0.0005439590731051164,771.6887632603343,70.75293669451221,694.5198869343008
1352.0,0.0005427462634525252,769.9682081172134,70.59518614154793,692.9713873054919
1353.0,0.0005415333033578852,768.2474395491414,70.43741602053655,691.4226955942272
1354.0,0.0005403202026697737,766.5264715278246,70.27962761248578,689.8738243750421
1355.0,0.000539106971226645,764.8053180106084,70.12182219708666,688.3247862095475
1356.0,0.0005378936188567251,763.0839929403277,69.96400105269977,686.7755936462949
1357.0,0.0005366801553779044,761.3625102451549,69.80616545634139,685.2262592206393
1358.0,0.0005354665905976353,759.6408838384542,69.64831668367007,683.6767954546087
1359.0,0.0005342529343128248,757.9191276186301,69.49045600897277,682.127214856767
1360.0,0.0005330391963097322,756.1972554689809,69.33258470515145,680.5775299220827
1361.0,0.0005318253863638602,754.475281257546,69.17470404370901,679.0277531317913
1362.0,0.0005306115142398553,752.7532188369629,69.01681529473625,677.4778969532666
1363.0,0.0005293975896914004,751.0310820443159,68.85891972689792,675.9279738398843
1364.0,0.0005281836224611108,749.3088847009878,68.70101860741921,674.377996230889
